SCHLUESSEL,BERUFINT
100,Zerspanungsmechaniker/in - Drehtechnik
150,Werkzeugmechaniker/in - Formentechnik
110,Industriemechaniker/in - Betriebstechnik
120,Elektromechaniker/in
500,Steuerfachangestellte/r
600,Dipl.-Ing. (FH) Maschinenbau
140,Lackierer/in - Holz und Metall
141,Lackierer/in - KFZ
160,Mechatroniker/in
125,Energieelektroniker/in
170,Konstruktionsmechaniker/in
111,Industriemechaniker/in - Schleiftechnik
130,Maschinen- und Anlagenführer/in
200,Kranführer/in
119,Fertigungsmechaniker/in
151,Werkzeugmacher/in
620,Konstrukteur/in
112,Industriemechaniker/in - Geräte- und Feinwerktechn
128,Elektroniker/in - Energie- und Gebäudetechnik
127,Elektroniker/in für Betriebstechnik
510,Kaufmann/-frau für Bürokommunikation
210,Kraftfahrzeugmechaniker/in
126,Elektromaschinenbauer/in
124,Elektriker/in
34017,Fachkraft - Möbel-
520,Bankkaufmann/-frau
121,Industrieelektroniker/in - Produktionstechnik
400,Fachkraft für Lagerlogistik
172,Schlosser/in
216,Gärtner
700,Verkäufer/in
650,Techniker/in - Metallbautechnik
720,Gabelstaplerfahrer/in
113,Zerspanungsmechaniker/in - Frästechnik
122,Elektroanlagenmonteur/in
401,Lager- u. Transportarbeiter/in
522,Betriebswirt/in - Medien
175,Feinblechner/in
101,Schweißer/in
114,Zerspanungsmechaniker/in - Schleiftechnik
701,Reiseverkehrskaufmann/-frau
740,Chemielaborjungwerker/in
750,Teilezurichter/in
155,Feinwerkmechaniker/in
760,Techniker/in - Umweltschutztechnik (Verfahrenstech
780,Qualitätsbeauftragter/-beauftragte - Management
152,Werkzeugmechaniker/in - Stanz- und Umformtechnik
109,Industriemechaniker/in - Produktionstechnik
781,Qualitätsprüfer/in
651,Techniker/in - Maschinenbautechnik
118,Maschinenbaumechaniker/in
185,Kunststoff-Formgeber/in
117,Maschinenschlosser/in
108,Industriemechaniker/in - Maschinen- u. Systemtechn
123,Elektroniker/in für Geräte und Systeme
159,Metallbearbeiter/-in
511,Industriekaufmann/-frau
782,Qualitätsfachmann/-frau
670,Industriemeister/in - Elektrotechnik (Mess/Steuer/
783,Qualitätsingenieur/in
675,Industriemeister/in - Metall
601,Dipl.-Ing. - Elektrotechnik
630,Technische/r Zeichner/in - Maschinen- und Anlagent
800,Industrieelektroniker/in - Gerätetechnik
671,Techniker/in - Elektrotechnik
676,Meister/in - Feinwerktechnik
830,Chemikant/in
840,Maschinenzusammensetzer/in
635,Technische/r Zeichner/in - Elektrotechnik
310,Zentralheizungs- u. Lüftungsbauer/in
672,Meister/in - Elektrotechnik
603,Dipl.-Ing. (FH) - Kunststofftechnik
513,Speditionskaufmann/-frau
604,Dipl.-Ing. - Werkstoffwissenschaft
652,Techniker/in - Kunststofftechnik
131,Elektromechaniker/in
186,Laminierer/in (Kunststoffverarbeitung)
850,Informatikkaufmann/-frau
860,Fachinformatiker/in - Systemintegration
673,Meister/in - Kunststofftechnik
870,Polsterer/Polsterin
512,Technische/r Einkäufer/in
880,Technische/r Konfektionär/in
881,Bohrer/in
882,Fleischer/in
189,Ingenieur/in - Mikrosystemtechnik
514,Kfm. Ass./Wirtschaftsassistent/in - Fremdsprachen
523,Betriebswirt/in (Hochschule) - allg. Betriebswirts
148,Konstruktionsmechaniker/in
149,Ingenieur/in - Kunststofftechnik
163,Industriemeister/in - Kunststoff und Kautschuk
161,Technische/r Zeichner/in
153, Elektroniker/in
154,Kfz-Mechaniker/in
158,Fachhelfer/in - Industrie
157,Feinwerkmechaniker/in - Maschinenbau
156,Modellbauer/in - Formenbau
162,Betriebsschlosser/in
653,Techniker/in - Maschinentechnik (Mechatronik)
10001,Produktionshelfer/in - Steinbearbeitung
10002,Produktionshelfer/in - Glas
10003,Produktionshelfer/in - Keramik
10004,Produktionshelfer/in - Porzellanindustrie
10005,Produktionshelfer/in - Kunststoff und Kautschuk
10006,Produktionshelfer/in - Gießerei
10007,Produktionshelfer/in - Metall
10008,Elektroproduktionshelfer/in
10009,Produktionshelfer/in - Elektro
10010,Produktionshelfer/in - Tabakwarenherstellung
10011,Produktionshelfer/in - Chemie
10012,Produktionshelfer/in - Pharmazie
164,Kunststofftechniker/in
10013,Produktionshelfer/in - Verpackung
165,Schweißer/in - Anlagen- und Apparatebau
166,CNC-Fachkraft
167,Konstrukteur/in
169,Maschinenbautechniker/in
168,Verpackungsmittelmechaniker/in
171,Ingenieur/in - Mechatronik
173,Landmaschinenmechaniker/in
174,Ingenieur/in - Feinwerktechnik
176,Fachkraft - Lagerwirtschaft
187,Fachkraft - Qualitätssicherung/management
177,Chemikant/in
178,Elektroniker - Automatisierungstechnik
179,Technische/r Einkäufer/in
142,Teilezurichter
107,Industriemechaniker/in
102,Kunststoff - Formgeber/in
104,Galvanotechniker/in
115,Techniker/in - Elektrotechnik
106,Wirtschaftsingenieur/in
103,Feinwerkmechaniker/in
105,Oberflächenbeschichter/in
116,Stahlformenbauer/in
129,Metallbauer/in
133,Metallbauer/in - Konstruktionstechnik
132,Metallbauhelfer/in
134,Elektroinstallateur/in
137,Dienstwagenfahrer/in
135,Verfahrensmech/in - Kunststoff-/Kautschukt.
143,Energieanlagenelektroniker/in
136,Mechatroniker/in
138,Verfahrensmech.-Kunststoff-/Kautschukt.-Formteile
144,Ingenieur/in - Maschinenbau
139, 	Verfahrensmech.-Kunststoff-/Kautschukt.-Bauteile
145,Feinwerkmechaniker/in - Werkzeugbau
146,Chemielaborant/in
147,Qualitätsmanager/in
14553,Zerspanungsmechaniker/in - Schleifmaschinen
14554,Zerspanungsfacharbeiter/in - Schleifmaschinen
14617,CNC-Dreher/in
14618,CNC-Fräser/in
14620,CNC-Mechaniker/in
14636,Matrizendreher/in
14637,Maschinendreher/in
14638,Maschinenfräser/in
14650,Zahnradstoßer/in
14710,Zerspanungsmechaniker/in
14712,Zerspanungsmechaniker/in - Drehtechnik
14713,Zerspanungsmechaniker/in - Frästechnik
14714,Zerspanungsmechaniker/in - Automaten-Drehtechnik
14835,Fachkraft - CNC-Technik
14837,Zerspanungstechniker/in
14868,Industriemeister/in - Aluminiumbe- und -verarbeitu
14869,Drehermeister/in
14870,Galvaniseurhelfer/in
15353,Techniker/in - Verbindungstechnik
15409,Werkzeugmacherhelfer/in
15410,Werkzeugmechanikerhelfer/in
15449,Zentrierer/in (Feinmechaniker/in)
15568,Werkzeugschlosser/in
15570,Werkzeugmechaniker/in
15575,Werkzeugmaschinenschlosser/in
15577,Werkzeugmechaniker/in - Formentechnik
15578,Werkzeugmechaniker/in - Instrumententechnik
15580,Werkzeugmechaniker/in - Stanz- und Umformtechnik
15633,Werkzeugtechniker/in
15715,Werkzeugmachermeister/in
15762,Fachkraft - Maschinenbau
15851,Techniker/in - Verfahrenstechnik
16095,Baugerätehandwerker/in
16096,Bahnbetriebsschlosser/in
16097,Bandmaschinenmechaniker/in
16098,Facharbeiter/in für Anlagentechnik - Kulturwaren
16099,Laufwerkschlosser/in
16100,Maschinen- und Anlagenmonteur/in - Motorenbau
16101,Walzenschlosser/in
16102,Schlüsselmacher/in
16103,Getriebebauer/in
16104,Getriebemonteur/in
16105,Geräteschlosser/in
16106,Getriebeschlosser/in
16107,Getriebemechaniker/in
16690,Fachkraft - Mechatronik
19001,Webereitechniker/in
19002,Chemiefasertechniker/in
19003,Wirkereitechniker/in
19004,Wirkerei-/Strickereitechniker/in
19005,Vliesstofftechniker/in
19006,Vliesstofferzeugungstechniker/in
19007,Stricktechniker/in
19008,Strickereitechniker/in
19009,Bandanleger/in
19010,Baumwollspuler/in
19011,Baumwollspinner/in
19012,Facher/in
19013,Fadner/in
19014,Faseraufbereiter/in
19015,Faservorbereiter/in
19016,Garnspuler/in
19017,Garneinleger/in
19018,Garnhersteller/in
19019,Haspler/in
19020,Handspinner/in
19021,Haspelfahrer/in
19022,Haspelführer/in
19023,Jacquardspuler/in
19024,Kammgarnspinner/in
19025,Kammgarnfacharbeiter/in
19026,Maschinenseiler/in
19027,Maschinenspuler/in
19028,Maschinen- und Anlagenführer/in - Textiltechnik (S
19029,Naßspinner/in
19030,Schiffchenspuler/in
19031,Feinspinner/in
19032,Leinenspuler/in
19033,Leinengarnzwirner/in
19034,Netzknüpfer/in
19035,Netzmontierer/in
19036,Netzmaschinenführer/in
19037,Reepschläger/in
19038,Reißwolfarbeiter/in (Spinnvorbereiter/in)
19039,Seiler/in
19040,Seilschläger/in
19041,Seidenspuler/in
19042,Seidenzwirner/in
19043,Texturierer/in
19044,Textilspinner/in
19045,Textilzwirner/in
19046,Textilfaserfacharbeiter/in
19047,Textilmechaniker/in - Spinnerei
19048,Textilmaschinenführer/in - Spinnerei
19049,Textilmaschinenbediener/in - Spinnerei
19050,Verseilmaschinenbediener/in
19051,Effektzwirner/in
19052,Egalisierer/in (Textil)
19053,Chemiefaserspinner/in
19054,Chemiefaserzwirner/in
19055,Ringspinner/in
19057,Umspuler/in (Garnherstellung)
19059,Holzwolleseilspinner/in
19060,Roßhaarspinner/in
19061,Roßhaarzwirner/in
19062,Roller/in (Garnspuler/in)
19063,Vorspinner/in
19064,Vorgarnspinner/in
19065,Wollspuler/in
19066,Wollspinner/in
19067,Wollgarnspinner/in
19068,Spuler/in
19069,Spleißer/in
19070,Springer/in - Spinnerei
19071,Spulmaschinenbediener/in
19072,Spinnereifacharbeiter/in
19073,Spinnereimaschinenbediener/in
19074,Kreuzspuler/in
19075,Krempelfahrer/in
19076,Krempler/in (Spinnerei)
19077,Prüfer/in - Seilerei
19078,Strangspuler/in
19079,Streichgarnspinner/in
19080,Jutezwirner/in
19081,Kunstzwirner/in
19082,Kunstfaserspinner/in
19083,Zwirner/in
19084,Zwirnspinner/in
19085,Zweizylinderspinner/in
19086,Zwirnereifacharbeiter/in
19087,Zwirnmaschinenbediener/in
19088,Zwirnmaschineneinsteller/in
19089,Nähfaden- und Effektzwirner/in
19090,Techniker/in - Spinnerei
19091,Techniker/in - Fadenbildung
19092,Techniker/in - Spinnereitechnik
19093,Textiltechniker/in - Spinnereitechnik
19094,Techniker/in - Textiltechnik (Spinnereitechnik)
19095,Spinnereitechniker/in
19096,Zwirnereitechniker/in
19097,Baumwollfärber/in
19098,Baumwollbleicher/in
19099,Carbonisierer/in
19100,Garnfärber/in
19101,Handfärber/in
19102,Kaschierer/in (Beschichtung)
19103,Kaschierer/in (Textilveredlung)
19104,Kalandrierer/in - Textilveredlung
19105,Kalanderführer/in - Textilveredlung
19106,Kalanderer/Kalanderin (Textilveredlung)
19107,Maschinenstranggarnfärber/in
19108,Maschinen- und Anlagenführer/in - Textilveredlung
19109,Rauher/in (Textilausrüstung)
19110,Sanforisierer/in
19111,Walker/in (Textilausrüstung)
19112,Schwarzfärber/in
19113,Scherer/in (Textilveredlung)
19114,Beschichtungs-Textilveredler/in
19115,Dekateur/in
19116,Leinenbleicher/in
19117,Leinenwarenbleicher/in
19118,Merceriseur/in
19119,Mercerisierer/in
19120,Merzerisierer/in
19121,Seidenfärber/in
19122,Senger/in (Textilausrüster/in)
19123,Textilfärber/in
19124,Textilveredler/in
19125,Textilchemiker/in
19126,Textilausrüster/in
19127,Textilwarendrucker/in
19128,Textilkalanderführer/in
19129,Textilveredler/in (Färberei)
19130,Textilmaschinenführer/in - Veredlung
19131,Textilveredler/in - Maschinenführung
19132,Veredler/in (Textil)
19133,Fixierer/in (Bekleidungsindustrie)
19134,Bleicher/in (Textilveredlung)
19135,Bleichereiarbeiter/in (Textilveredlung)
19136,Plissierer/in
19137,Plisseebrenner/in
19138,Plisseepresser/in
19139,Imprägnierer/in (Textilausrüstung)
19140,Wollfärber/in
19141,Appreturfacharbeiter/in
19142,Appreteur/in (Textilveredlung)
19143,Brecher/in (Textilveredlung)
19144,Graveur/in - Formenstecher/in
19145,Kreuzspulenfärber/in
19146,Präger/in (Beschichtung)
19147,Produktveredler/in - Textil
19148,Stückfärber/in
19149,Strangfärber/in
19150,Stückbleicher/in
19151,Strumpffärber/in
19152,Stückappreteur/in
19153,Stranggarnbleicher/in
19154,Ausrüster/in
19155,Buntgewebeausrüster/in
19156,Tuchwalker/in
19157,Tuchfärber/in
19158,Tuchappreteur/in
19159,Tuchausrüster/in
19160,Färber/in (Textil)
19161,Färbespezialist/in
19162,Wäscher/in (Textilveredler/in)
19163,Textilveredlungstechniker/in
19164,Textilveredelungstechniker/in
19165,Techniker/in - Textilveredelung
19166,Textiltechniker/in - Textilveredelung
19167,Techniker/in - Textiltechnik (Textilveredelung)
19168,Techniker/in - Textilveredelung/Textilreinigung
19169,Kolorist/in (Textilveredlung)
19170,Appreturtechniker/in
19171,Färbereitechniker/in
19172,Wäschereitechniker/in
19173,Handwerksmeister/in - Weberei
19174,Handwerksmeister/in - Seilerei
19175,Handwerksmeister/in - Stickerei
19176,Bekleidungstechnikmeister/in
19177,Meister/in - Textiltechnik
19178,Meister/in - Seilerhandwerk
19179,Meister/in - Kunstfaserchemie
19180,Meister/in - Teppichindustrie
19181,Meister/in - Synthesefaserchemie
19182,Meister/in - Chemiefaserherstellung
19183,Seilermeister/in
19184,Seilmachermeister/in
19185,Textilmeister/in
19186,Teppichindustriemeister/in
19187,Veredlungsmeister/in (Textil)
19188,Webmeister/in
19189,Webermeister/in
19190,Webereimeister/in
19191,Webstuhlmeister/in
19192,Webeblattbindermeister/in
19193,Werkstattleiter/in (Weberei)
