Personal-Nr,ABCStatus,Status,Beruf,Einstellungsberuf,Berufschl,Qualifiaktion,Profil
61922,T,1,,,1,704,
62105,B,1,,,1,113,
62105,B,1,,,1,143,
62105,B,1,,,1,156,
62105,B,1,,,1,166,
62105,B,1,,,1,177,
62029,I,1,,,1,731,
61811,I,1,,,1,713,
62541,B,1,,,1,182,
62541,B,1,,,1,183,
62541,B,1,,,1,184,
62541,B,1,,,1,156,
62541,B,1,,,1,177,
62541,B,1,,,1,118,
61170,A,1,,,1,118,
61170,A,1,,,1,168,
61170,A,1,,,1,157,
62079,A,2,130,Maschinen- und Anlagenführer/in,1,155,
62079,A,2,130,Maschinen- und Anlagenführer/in,1,116,
62079,A,2,130,Maschinen- und Anlagenführer/in,1,177,
62079,A,2,130,Maschinen- und Anlagenführer/in,1,118,
62079,A,2,130,Maschinen- und Anlagenführer/in,1,800,
62150,I,1,,,1,731,
62150,I,1,,,1,732,
61915,T,2,10007,Produktionshelfer/in - Metall,1,714,
61230,A,2,23785,Lagerhelfer/in,1,156,
61230,A,2,23785,Lagerhelfer/in,1,118,
62194,I,1,,,1,731,
61890,B,1,,,1,800,
61890,B,1,,,1,112,
61890,B,1,,,1,156,
61890,B,1,,,1,177,
61500,I,1,,,1,740,
62124,I,1,,,1,731,
62315,B,1,,,1,113,
62315,B,1,,,1,156,
62315,B,1,,,1,178,
61974,B,1,,,1,113,
61974,B,1,,,1,118,
61898,I,1,,,1,740,
61048,B,2,158,Fachhelfer/in - Industrie,1,169,
61393,I,1,,,1,740,
61944,I,1,,,1,751,
62388,T,1,,,1,715,
61633,I,1,,,1,713,
61511,T,1,,,1,712,
62202,T,1,,,1,714,
61539,I,1,,,1,713,
61379,T,1,,,1,730,
62341,C,1,,,1,762,
62341,C,1,,,1,166,
62341,C,1,,,1,178,
62341,C,1,,,1,169,
62093,I,1,,,1,714,
62093,I,1,,,1,715,
62338,A,1,,,1,174,
62338,A,1,,,1,175,
62338,A,1,,,1,177,
61772,I,1,,,1,731,
62210,,1,,,1,715,
61953,I,1,,,1,760,
62000,T,2,10009,Produktionshelfer/in - Elektro,1,760,
61870,T,2,10007,Produktionshelfer/in - Metall,1,752,
61870,T,2,10007,Produktionshelfer/in - Metall,1,801,
62370,,1,,,1,715,
62159,T,2,10007,Produktionshelfer/in - Metall,1,715,
61598,I,1,,,1,740,
61598,I,1,,,1,741,
61364,T,1,,,1,701,
62340,I,1,,,1,705,
62442,I,1,,,1,715,
62400,A,2,10011,Produktionshelfer/in - Chemie,1,174,
62400,A,2,10011,Produktionshelfer/in - Chemie,1,175,
