SCHLUESSEL,BERUFINT,BERUFVERZ,RO,BESCHARTA,BESCHARTB,ENTSENDEG,BLTAETIGKEIT,TRFIELD,REPL_ID,REPL_DATABASE,IENTGELTGRUPPE,SSICHTBARINMAND,CSELEKTIONSKENNZEICHEN,IWEBPORTAL,SWEBPORTALTEXT,AUSGTAETIGKEITSSCHLUESSEL,AKTIV,WARNUNGMINDESTLOHN,HOCHSCHULBERUF,VORRAUSSETZUNG,LFDNRAUSGTAETIGKEIT,SWEBPORTALTEXT2,CFREMDSCHLUESSEL,AUTO_UEBERNAHME_PERSONAL,PROSOFT_RECRUITING_SOURCE_ID,DKZ_ID
100,Zerspanungsmechaniker/in - Drehtechnik,Zerspanungsmechaniker/in - Drehtechnik,N,221,,,,J,30735,1604123803,,,,,,24232,1,,,,4797,,,1,,1809
150,Werkzeugmechaniker/in - Formentechnik,Werkzeugmechaniker/in - Formentechnik,N,291,,,,J,30736,1604123803,,,,,,24522,1,,,,5605,,,1,,2527
110,Industriemechaniker/in - Betriebstechnik,Industriemechaniker/in - Betriebstechnik,N,221,,,,J,30737,1604123803,,,,,,25102,1,,,,5765,,,1,,2337
120,Elektromechaniker/in,Elektromechaniker/in,N,314,,,,J,30738,1604123803,,,,,,26302,1,,,,7254,,,1,,2866
500,Steuerfachangestellte/r,Steuerfachangestellte/r,N,753,,,,J,30739,1604123803,,,,,,72302,1,,,,18515,,,1,,7572
600,Dipl.-Ing. (FH) Maschinenbau,Maschinenbauingenieur/in,N,601,,,,J,30740,1604123803,,,,,,25104,1,,,,5875,,,1,,28869
140,Lackierer/in - Holz und Metall,Lackierer/in - Holz und Metall,N,512,,,,J,30741,1604123803,,,,,,22202,1,,,,2237,,,1,,4611
141,Lackierer/in - KFZ,Kraftfahrzeuglackierer/in,N,512,,,,J,30742,1604123803,,,,,,22212,1,,,,2282,,,1,,111976
160,Mechatroniker/in,Mechatroniker/in,N,314,,,,J,30743,1604123803,,,,,,26112,1,,,,6685,,,1,,2862
125,Energieelektroniker/in,Energieelektroniktechniker/in,N,311,,,,J,30744,1604123803,,,,,,26233,1,,,,6961,,,1,,117265
170,Konstruktionsmechaniker/in,Konstruktionsmechaniker/in,N,275,,,,J,30745,1604123803,,,,,,24412,1,,,,5117,,,1,,29050
111,Industriemechaniker/in - Schleiftechnik,Industriemechaniker/in,N,221,,,,J,30746,1604123803,,,,,,25102,1,,,,5764,,,1,,29056
130,Maschinen- und Anlagenführer/in,Maschinen- und Anlagenführer/in (o. Angabe des Sch,N,543,,,,J,30747,1604123803,,,,,,25122,1,,,,5947,,,1,,27431
200,Kranführer/in,Kranführer/in,N,544,,,,J,30748,1604123803,,,,,,52532,1,,,,14842,,,1,,4784
119,Fertigungsmechaniker/in,Fertigungsmechaniker/in,N,285,,,,J,30749,1604123803,,,,,,25112,1,,,,5886,,,1,,2485
151,Werkzeugmacher/in,Werkzeugmacher/in,N,291,,,,J,30750,1604123803,,,,,,24522,1,,,,5597,,,1,,13841
620,Konstrukteur/in,Konstrukteur/in,N,621,,,,J,30751,1604123803,,,,,,27223,1,,,,8108,,,1,,5353
112,Industriemechaniker/in - Geräte- und Feinwerktechn,Industriemechaniker/in - Geräte- und Feinwerktechn,N,284,,,,J,30752,1604123803,,,,,,24512,1,,,,5426,,,1,,2410
