Rank,Score,Programming Skills,Driver Skills,Highest Programming Skills,Highest Driver Skills,Highest Programming Score Timestamp,Highest Driver Score Timestamp,Highest Programming Score Stop Time,Highest Driver Score Stop Time,Team Number,Team Name,Organization,Event Region,Country / Region
1,541,278,263,278,263,2023-02-18 04:15:55,2023-02-18 04:17:51,0,3,10C,Exothermic Creation,Exothermic Robotics,Washington,United States
2,511,251,260,251,260,2023-02-18 16:35:16,2023-02-18 17:32:50,0,0,16868K,Skill Issue,Checkmate Robotics,Ontario,Canada
3,511,247,264,247,264,2023-02-03 20:26:55,2023-02-03 19:17:18,0,0,100A,Jugglenauts,Apogee Robotics,Indiana,United States
4,509,245,264,245,264,2023-02-11 13:27:40,2023-02-11 14:05:51,0,0,515R,Revision,Logan and Ben Robotics Club,Kentucky,United States
5,474,229,245,229,252,2023-02-06 01:43:04,2023-02-21 23:39:23,0,0,323V,GEARS,Cornerstone Robotics,Indiana,United States
6,473,216,257,216,257,2023-02-12 21:41:17,2023-02-12 21:00:53,0,0,2496R,BHS Robopatties R,Arnold O. Beckman High School,California - Region 4,United States
7,472,229,243,229,243,2023-02-18 15:19:17,2023-02-18 14:28:53,0,0,2733J,Jelly,,Florida - North/Central,United States
8,464,229,235,229,235,2022-12-16 14:41:33,2022-12-16 22:09:30,0,0,2775V,Jackson Area Robotics,Jackson Area Robotics,Tennessee,United States
9,456,221,235,248,235,2023-02-05 18:11:49,2022-12-10 17:19:15,0,0,9181N,Bababooey,Seaquam Secondary,British Columbia (BC),Canada
10,449,206,243,206,249,2023-02-11 16:49:19,2023-02-03 19:11:10,0,0,21417A,ROBOKAUZ,ROBOKAUZ,Indiana,United States
11,448,196,252,230,252,2022-10-23 01:00:03,2023-02-04 02:16:41,0,0,66799A,AST-onishing A,American School in Taichung,Chinese Taipei,Taiwan
12,443,214,229,214,231,2023-02-16 01:18:43,2023-01-28 17:39:51,0,0,7368C,CCHS Panic Attack,COVENANT CHRISTIAN HIGH SCHOOL,Indiana,United States
13,440,231,209,231,225,2023-02-15 22:54:58,2023-02-18 17:25:59,0,0,6008C,C U Later,NORTH UNION HIGH SCHOOL,Ohio,United States
14,440,210,230,210,236,2023-01-07 20:04:36,2022-11-18 22:44:12,0,0,4082B,Freedom Gladiators,St Nicholas Catholic School,Wisconsin,United States
15,435,221,214,221,214,2023-02-04 19:40:55,2023-02-04 19:18:00,0,0,6408B,Budget,Heritage Woods Secondary,British Columbia (BC),Canada
16,426,213,213,213,213,2023-02-06 23:20:13,2023-02-06 23:19:49,0,0,315S,Paradigm,Paradigm,California - Region 2,United States
17,424,183,241,183,241,2023-02-11 21:27:00,2023-02-11 22:33:41,0,0,1469A,It Is What It Is,Holmes Eaglebotz Robotics Club,California - Region 4,United States
18,422,223,199,223,199,2023-01-28 16:01:06,2023-01-28 17:44:09,0,0,5956B,Bangarang,Timber Creek High School,Florida - North/Central,United States
19,422,213,209,213,230,2023-02-18 05:00:24,2022-09-10 21:20:07,0,0,80001B,Double Play,Double Play,California - Region 2,United States
20,416,228,188,228,188,2023-02-09 07:55:11,2023-02-09 05:01:31,0,0,81988D,Modern Crusaders,上海市虹口区青少年活动中心Shanghai Hongkou District Teenagers Activity Center,China,China
21,415,217,198,217,198,2022-12-29 02:51:25,2022-12-29 02:40:50,0,0,6408N,Windex,Heritage Woods Secondary,British Columbia (BC),Canada
22,414,173,241,173,241,2023-02-11 19:18:05,2023-02-11 18:14:34,0,0,5062X,XenoFox,FOX VALLEY LUTHERAN HIGH SCHOOL,Wisconsin,United States
23,404,175,229,175,229,2022-12-10 17:45:03,2022-12-10 17:52:10,0,1,5327K,gael force kreamers,DUBLIN HIGH SCHOOL,California - Region 2,United States
24,402,196,206,196,206,2023-02-11 14:47:56,2023-02-11 15:29:05,0,0,197D,Daedalus,Harriton Senior High School,Pennsylvania - East,United States
25,402,179,223,194,223,2023-01-21 19:47:15,2023-02-12 15:25:01,0,0,48425A,ROBOSheen,ROBOSheen Robotics,Southern New England,United States
26,401,200,201,200,201,2022-12-03 01:15:42,2022-12-03 01:36:19,0,0,73335T,INDEED,Dr.Player Robotics Lab,Chinese Taipei,Taiwan
27,393,194,199,198,199,2023-02-12 19:20:35,2023-01-14 15:38:21,0,0,16888A,Invisible,Independent,Michigan,United States
28,390,186,204,186,204,2023-02-18 05:22:03,2023-02-18 21:36:25,0,0,6627A,Knight Time Bots A,FOOTHILL HIGH,California - Region 4,United States
29,384,161,223,161,223,2022-12-18 22:36:03,2022-12-18 22:50:50,0,0,44777U,DiscoBotZ,DiscoBotZ Robotics,Washington,United States
