Commodity,Price,Units
Apple Bananas,Ugx WS 2,000/= RT 2,500/=,kg
Cavendish (Bogoya),Ugx WS 3,500/= RT 4,000/=,kg
Cassava Flour,Ugx WS 1,200/= RT 1,500/=,kg
Fresh Cassava,Ugx WS 800/= RT 1,000/=,kg
Dry Fermented Cassava,Ugx WS 1,000/= RT 1,200/=,kg
Cow Peas,Ugx WS 4,000/= RT 4,500/=,kg
Exotic Chicken,Ugx WS 9,000/= RT 10,000/=,Bird
Exotic Eggs,Ugx WS 9,000/= RT 9,500/=,Tray
Local Chicken,Ugx WS 15,000/= RT 20,000/=,Bird
Local Eggs,Ugx WS 14,000/= RT 17,000/=,Tray
Groundnuts,Ugx WS 4,000/= RT 4,500/=,kg
Irish Potatoes,Ugx WS 1,200/= RT 1,500/=,kg
Kayiso Rice,Ugx WS 2,500/= RT 2,800/=,kg
Super Rice,Ugx WS 3,500/= RT 3,800/=,kg
Upland Rice,Ugx WS 2,800/= RT 3,000/=,kg
Maize Flour ,Ugx WS 1,500/= RT 1,800/=,kg
Millet Flour,Ugx WS 2,200/= RT 2,500/=,kg
Sorghum Flour,Ugx WS 2,000/= RT 2,200/=,kg
Maize grain,Ugx WS 1,000/= RT 1,100/=,kg
Millet Grain,Ugx WS 1,300/= RT 1,600/=,kg
Sorghum Grain,Ugx WS 1,800/= RT 2,000/=,kg
Matooke Fingers,Ugx WS 600/= RT 650/=,kg
Matooke,Ugx WS 15,000/= RT 20,000/=,Bunch
Fresh Milk,Ugx WS 1,500/= RT 1,800/=,Litre
Nambale Beans,Ugx WS 3,200/= RT 3,500/=,kg
Yellow Beans,Ugx WS 3,000/= RT 3,200/=,kg
Soya Beans,Ugx WS 3,000/= RT 3,200/=,kg
Sunflower,Ugx WS 1,000/= RT 1,200/=,kg
Tilapia,Ugx WS 10,000/= RT 15,000/=,Whole
Turkey,Ugx WS 75,000/= RT 90,000/=,Bird
Simsim,Ugx WS 5,000/= RT 5,500/=,kg
